Variable,Univariable,Lasso,Ridge,ComplementNB,RandomForest,CART,GradientBoost,ADAboost,SVM,Sum
FirstDateInvestedByActivisit_186,0,0,0,0,0,1,0,0,0,1
FirstDateInvestedByActivisit_187,0,0,1,1,0,0,0,0,0,2
FirstDateInvestedByActivisit_188,0,0,1,1,0,0,0,0,0,2
FirstDateInvestedByActivisit_189,0,0,0,1,0,0,0,0,0,1
FirstDateInvestedByActivisit_190,0,0,0,1,0,0,0,0,0,1
FirstDateInvestedByActivisit_191,0,0,1,1,0,0,0,0,0,2
FirstDateInvestedByActivisit_192,0,0,1,1,0,0,0,0,0,2
FirstDateInvestedByActivisit_193,0,0,0,1,0,0,0,0,0,1
FirstDateInvestedByActivisit_194,0,0,1,1,0,0,0,0,0,2
FirstDateInvestedByActivisit_195,0,0,1,1,0,1,0,0,0,3
FirstDateInvestedByActivisit_196,0,0,1,1,0,0,0,0,0,2
FirstDateInvestedByActivisit_197,0,0,1,0,0,0,0,0,0,1
FirstDateInvestedByActivisit_198,0,0,1,1,0,0,0,0,0,2
FirstDateInvestedByActivisit_199,0,0,0,1,0,0,0,0,0,1
FirstDateInvestedByActivisit_200,0,0,1,1,0,0,0,0,0,2
FirstDateInvestedByActivisit_201,0,0,1,1,0,0,0,0,0,2
FirstDateInvestedByActivisit_202,0,0,0,1,0,0,0,0,0,1
FirstDateInvestedByActivisit_203,0,0,0,1,0,0,0,0,0,1
FirstDateInvestedByActivisit_204,0,0,1,1,0,1,0,0,0,3
FirstDateInvestedByActivisit_205,0,0,1,1,0,0,0,0,0,2
FirstDateInvestedByActivisit_206,0,0,1,0,0,0,0,0,0,1
FirstDateInvestedByActivisit_207,0,0,0,1,0,0,0,0,0,1
FirstDateInvestedByActivisit_208,0,0,1,1,0,0,0,0,0,2
FirstDateInvestedByActivisit_209,0,0,0,1,0,0,0,0,0,1
FirstDateInvestedByActivisit_210,0,0,0,1,0,0,0,0,0,1
FirstDateInvestedByActivisit_211,0,0,0,1,0,0,0,0,0,1
FirstDateInvestedByActivisit_212,0,0,0,1,0,0,0,0,0,1
FirstDateInvestedByActivisit_213,0,0,0,0,0,0,0,0,0,0
FirstDateInvestedByActivisit_214,0,0,0,1,0,0,0,0,0,1
FirstDateInvestedByActivisit_215,0,0,0,1,0,0,0,0,0,1
FirstDateInvestedByActivisit_216,0,0,0,1,0,0,0,0,0,1
FirstDateInvestedByActivisit_217,0,0,0,1,0,0,0,0,0,1
FirstDateInvestedByActivisit_218,0,0,0,1,0,0,0,0,0,1
FirstDateInvestedByActivisit_219,0,0,0,1,0,0,0,0,0,1
FirstDateInvestedByActivisit_220,0,0,1,1,0,0,0,0,0,2
FirstDateInvestedByActivisit_221,0,0,0,1,0,0,0,0,0,1
FirstDateInvestedByActivisit_222,0,0,1,1,0,0,0,0,0,2
FirstDateInvestedByActivisit_223,0,0,1,1,0,0,0,0,0,2
FirstDateInvestedByActivisit_224,0,0,0,1,0,0,0,0,0,1
FirstDateInvestedByActivisit_225,0,0,1,1,0,0,0,0,0,2
FirstDateInvestedByActivisit_226,0,0,0,1,0,0,0,0,0,1
FirstDateInvestedByActivisit_227,0,0,0,0,0,0,0,0,0,0
FirstDateInvestedByActivisit_228,0,0,0,1,0,0,0,0,0,1
FirstDateInvestedByActivisit_229,0,0,0,1,0,0,0,0,0,1
FirstDateInvestedByActivisit_230,0,0,0,1,0,0,0,0,0,1
FirstDateInvestedByActivisit_231,0,0,1,1,0,0,0,0,0,2
FirstDateInvestedByActivisit_232,0,0,0,1,0,0,0,0,0,1
FirstDateInvestedByActivisit_233,0,0,0,1,0,0,0,0,0,1
FirstDateInvestedByActivisit_234,0,0,0,0,0,0,0,0,0,0
FirstDateInvestedByActivisit_235,0,0,0,0,0,0,0,0,0,0
FirstDateInvestedByActivisit_236,0,0,0,1,0,0,0,0,0,1
FirstDateInvestedByActivisit_237,0,0,1,1,0,1,0,0,0,3
FirstDateInvestedByActivisit_238,0,0,1,1,0,0,0,0,0,2
FirstDateInvestedByActivisit_239,0,0,1,1,0,0,0,0,0,2
FirstDateInvestedByActivisit_240,0,0,1,1,0,0,0,0,0,2
FirstDateInvestedByActivisit_241,0,0,0,1,0,0,0,0,0,1
FirstDateInvestedByActivisit_242,0,0,0,1,0,0,0,0,0,1
FirstDateInvestedByActivisit_243,0,0,1,1,0,0,0,0,0,2
FirstDateInvestedByActivisit_244,0,0,0,1,0,0,0,0,0,1
FirstDateInvestedByActivisit_245,0,0,0,0,0,0,0,0,0,0
FirstDateInvestedByActivisit_246,0,0,1,1,0,0,0,0,0,2
FirstDateInvestedByActivisit_247,0,0,1,1,0,0,0,0,0,2
FirstDateInvestedByActivisit_248,0,0,0,0,0,0,0,0,0,0
FirstDateInvestedByActivisit_249,0,0,0,0,1,1,0,0,0,2
FirstDateInvestedByActivisit_250,0,0,0,0,1,1,0,0,0,2
FirstDateInvestedByActivisit_251,0,0,0,1,0,0,0,0,0,1
FirstDateInvestedByActivisit_252,0,0,1,1,0,0,0,0,0,2
FirstDateInvestedByActivisit_253,0,0,0,1,0,0,0,0,0,1
FirstDateInvestedByActivisit_254,0,0,0,0,1,1,0,0,0,2
FirstDateInvestedByActivisit_255,0,0,0,0,1,1,0,0,0,2
FirstDateInvestedByActivisit_256,0,0,0,1,0,0,0,0,0,1
FirstDateInvestedByActivisit_257,0,0,0,0,0,0,0,0,0,0
FirstDateInvestedByActivisit_258,0,0,0,0,0,0,0,0,0,0
FirstDateInvestedByActivisit_259,0,0,0,0,1,1,0,0,0,2
FirstDateInvestedByActivisit_260,0,0,0,0,0,0,0,0,0,0
FirstDateInvestedByActivisit_261,0,0,1,1,0,0,0,0,0,2
FirstDateInvestedByActivisit_262,0,0,0,0,1,1,0,0,0,2
FirstDateInvestedByActivisit_263,0,0,0,0,0,1,0,0,0,1
FirstDateInvestedByActivisit_264,0,0,1,1,0,0,0,0,0,2
FirstDateInvestedByActivisit_265,0,0,0,0,0,0,0,0,0,0
FirstDateInvestedByActivisit_266,0,0,0,1,0,0,0,0,0,1
FirstDateInvestedByActivisit_267,0,0,0,1,0,0,0,0,0,1
FirstDateInvestedByActivisit_268,0,0,1,1,1,1,1,1,0,6
FirstDateInvestedByActivisit_269,0,0,1,1,0,0,0,0,0,2
FirstDateInvestedByActivisit_270,0,0,0,1,0,0,0,0,0,1
FirstDateInvestedByActivisit_271,0,0,1,0,0,0,0,0,0,1
FirstDateInvestedByActivisit_272,0,0,0,1,0,0,0,0,0,1
FirstDateInvestedByActivisit_273,0,0,1,1,1,0,0,0,0,3
FirstDateInvestedByActivisit_274,0,0,0,0,1,0,0,0,0,1
FirstDateInvestedByActivisit_275,0,0,1,1,0,0,0,0,0,2
FirstDateInvestedByActivisit_276,0,0,0,1,0,0,0,0,0,1
FirstDateInvestedByActivisit_277,0,0,0,1,0,0,0,0,0,1
